,city,temp,max temp,humidity,cloudiness,wind speed,lat,lon,city country,city datetime
378,trinidad,80.24,80.24,68,100,2.64,-14.83,-64.9,BO,1571882467
380,khorixas,64.94,64.94,30,80,4.65,-20.37,14.96,NA,1571882618
382,sambava,71.96,71.96,96,78,1.99,-14.27,50.17,MG,1571882620
383,asosa,63.28,63.28,91,0,4.83,10.07,34.53,ET,1571882620
384,srednekolymsk,2.84,2.84,94,76,6.51,67.46,153.71,RU,1571882621
385,dicabisagan,83.21,83.21,69,4,6.89,17.08,122.42,PH,1571882622
386,ushtobe,49.35,49.35,36,100,4.38,45.25,77.98,KZ,1571882623
387,guerrero negro,71.6,71.6,43,40,4.7,-24.19,-65.45,AR,1571882623
388,alice springs,48.51,48.51,82,54,3.49,-32.79,26.83,ZA,1571882551
389,amapa,80.6,80.6,83,75,4.7,15.09,-87.97,HN,1571882625
390,qeshm,76.06,77,65,0,7.29,26.96,56.27,IR,1571882625
